0M3KEG,JN98ET
DJ5KX,JO30PP
DJ5MW,JN47WN
DJ5NE,JN59LW
DJ6JJ,JO32OH
DJ6OI/P,JO41VP
DJ6OL,JO52AP
DJ7GS,JN47KR
DJ7JM,JN48RR
DJ8EW,JN58WH
DJ8JA,JO42WG
DJ8MS,JO54VC
DJ8MW,JO30VW
DJ8MW,JO30WR
DJ8MW,JO30WS
DJ8NU,JO63ON
DJ9MH,JO50FA
DK0A,JN48CO
DK0B,JO41HG
DK0BN,JN39VV
DK0FNF,JO50LF
DK0FWS,JO62XG
DK0FY,JN49KT
DK0MM,JN49IU
DK0MN,JN58TE
DK0NA,JO50TI
DK0OG,JN68GI
DK0PU,JO31JN
DK0SU,JN48NR
DK0TF,JO62MA
DK0TUI,JO50LQ
DK0VLP,JO52IJ
DK0VLP,JO52JJ
DK0ZB,JO42ID
DK1FY,JO52HK
DK1GS,JO54KH
DK1KC/P,JN58QH
DK1KW,JN58RE
DK1RS,JO60MM
DK1WB,JO52GH
DK1WB,JO52IJ
DK2CB,JO71IX
DK2GZ,JN49GB
DK2I,JO62QP
DK2I/P,JO62VL
DK2MA,JO40PG
DK2MY,JN49OD
DK2OY,JO44UO
DK2TX,JN59LN
DK2WC,JO31OM
DK2YCT,JO32RG
DK2YL,JN39JG
DK3JH,JN68AA
DK3T,JO41GU
DK3UW,JO53DM
DK3WG,JO72GI
DK3XC,JO61HN
DK3YD,JN58TE
DK4CU,JO31UO
DK4EF,JN49KV
DK4RA,JO50KQ
DK4VW,JO40IT
DK5CR,JO42JA
DK5DQ,JO31QH
DK5EQ,JO31QG
DK5EZ,JO31NH
DK5II,JO50LQ
DK5MB,JN68BI
DK5PD,JN39VV
DK5QN,JO42EA
DK5QN/P,JO42NC
DK5TA,JN68GI
DK5TI,JO50LQ
DK5TX,JO41JW
DK5WO,JO30AS
DK6AC,JO52FG
DK6AS,JO52JJ
DK6NJ,JN59WL
DK6OR,JN49KX
DK6OR,JO40KA
DK6QW,JO31LO
DK7AC,JO52GF
DK7UX/P,JN49ML
DK7VN,JN68CW
DK7XX,JO53NM
DK8AX,JN68IE
DK8FD,JO40LB
DK8MM,JO53CL
DK9CK,JO30ON
DK9TF,JO31NF
DK9ZQ,JO41SB
DL/KE8LQR,JN68GI
DL0AC,JO30EJ
DL0AU,JN58KI
DL0BO,JO31EE
DL0CW,JO43JA
DL0DD,JO52IJ
DL0DIG,JO30JP
DL0GEO,JO33RH
DL0GM,JO31UB
DL0HAL,JO51XK
DL0IKT,JO61UA
DL0LB,JN49QA
DL0MOL,JO72BM
DL0MUR,JN48ET
DL0NF,JN59PL
DL0OVV,JO31IN
DL0PP,JN49IX
DL0RCP,JO61DD
DL0STO,JO70IT
DL0TZ,JN59LN
DL0U,JN59WK
DL0VW,JO52GJ
DL0WOB,JO52GJ
DL1ARK/P,JO60VV
DL1ARS,JN48JH
DL1ASA/P,JN49IS
DL1BQF/P,JO62VL
DL1DAW,JO31UO
DL1DUR,JO70JW
DL1EAL,JO31LE
DL1EHG,JO31JF
DL1EIP,JO31DF
DL1EMY/P,JO50JP
DL1HBT,JO43WL
DL1HSF,JO61FR
DL1HTL,JO51XN
DL1HTT,JO61FR
DL1JHR,JO60LN
DL1KAS,JO30UX
DL1KLF,JO40EE
DL1NEO,JN59KV
DL1NUX,JO50LF
DL1PP,JN48HH
DL1QC,JO52WE
DL1RIO,JN58SE
DL1SE,JO50LQ
DL1SMA,JN48GK
DL1SMA,JN48GL
DL1SUZ,JO53UN
DL1WA,JO60IQ
DL1YAW,JO41DX
DL1YEG,JO42HG
DL2AKD,JN58KG
DL2AKT,JO50NV
DL2AQI/P,JO51FF
DL2BRW,JO72GI
DL2CC,JN48WM
DL2DRG,JO50PW
DL2DRG,JO70IT
DL2DRG,JO70JW
DL2DXA,JO61VC
DL2EAA,JN48LQ
DL2FFW,JO50KQ
DL2FQ,JN49EW
DL2HTI,JO61BB
DL2HWH,JO61AH
DL2IKE,JO61XU
DL2KCK,JO31OA
DL2LFH,JO42WJ
DL2LSM,JO61GH
DL2MDU,JN58RF
DL2NBU,JN58TE
DL2NBU,JN59KQ
DL2NY,JO32QF
DL2OCH,JO52BP
DL2OM,JO30SN
DL2OO,JN58UC
DL2RUG,JN58SD
DL2SWR,JO53SV
DL2VK,JN68KT
DL2YDS,JO42BC
DL2ZA,JN59VL
DL2ZAY,JO40FD
DL3GJ,JO53ET
DL3HAH,JO30JF
DL3HAH,JO32LA
DL3HR,JN49EX
DL3HWM,JO51XI
DL3HXS,JO61BT
DL3IAE,JN49DG
DL3IAS,JN49EJ
DL3IAS/P,JN49DJ
DL3LAR,JO52GE
DL3LAR,JO52GH
DL3LJ,JO44TP
DL3LJ/P,JO44TP
DL3MBG,JN67JX
DL3MFQ,JN58SE
DL3MR,JO61VA
DL3NCR,JN48QX
DL3NGN/P,JN59NU
DL3NGN/P,JN59RJ
DL3SFB,JN48WM
DL3YCW,JO42HB
DL3YDP,JO31NN
DL3YDP,JO31ON
DL3YEE,JO42IF
DL3ZAE/P,JN57XS
DL4ASK,JO50LQ
DL4DAW,JO41IE
DL4DBX,JN59NK
DL4EAM,JO31CG
DL4JU,JO31LF
DL4M,JO31QX
DL4MW,JO50KQ
DL4OCE,JO52DF
DL4VAI,JN39OJ
DL4WK,JO63SQ
DL4WK/P,JO63NS
DL4YDR,JO32RG
DL4YR,JO31KS
DL5BAW/P,JO42JW
DL5BAW/P,JO51ET
DL5BQ,JO31NO
DL5C,JO70IT
DL5CAT,JO30IK
DL5D,JO71EC
DL5DBT,JO31TN
DL5DF,JO52IJ
DL5DRG,JO61VA
DL5DUB,JO61UA
DL5DWF,JO71AA
DL5EBS,JO31NH
DL5FCW,JO40EA
DL5GAC,JN47UT
DL5HF,JO43VF
DL5JP,JN58QH
DL5JP,JN58RJ
DL5JS,JO31JF
DL5MO,JO50LQ
DL5MO/P,JO50JP
DL5NO,JN58VD
DL5OAB,JO31JD
DL5RDO,JN59KK
DL5RJ,JN68GU
DL5SE,JO50XL
DL5WW/M,JO63HS
DL5XAT,JO53CN
DL5XJ,JO54AE
DL5YAD,JO31TO
DL5YM,JO72BH
DL6AA,JO43JH
DL6ABB,JO52FG
DL6AST,JO60GQ
DL6CGC,JO52MC
DL6CKN,JO51JV
DL6DBN,JO40BV
DL6DBN,JO40DV
DL6EBP,JO30DW
DL6EBV,JO31KG
DL6EZ,JO31JE
DL6FBK,JO40KA
DL6JZ,JO61UA
DL6KDS,JO50JP
DL6KDS,JO50KQ
DL6KDS,JO50LQ
DL6KDS/P,JO50JP
DL6KWN,JO64AD
DL6MHW,JO52TG
DL6NAF,JN59NK
DL6NAQ,JO40XI
DL6NBC,JN59HB
DL6NDW,JN58MD
DL6NDW,JN58SC
DL6NEJ,JN59MN
DL6ON,JO52AO
DL6SH,JN48SW
DL6UHA,JO71HR
DL6WT,JN39VV
DL6ZEJ,JO51LV
DL6ZEJ,JO51MV
DL6ZXG,JO51KU
DL7AFB,JO62JA
DL7ANR,JO62OO
DL7AOS,JN48QF
DL7ED,JO31LG
DL7GW,JO62SL
DL7LTM,JO61EI
DL7NP,JO30PU
DL7QX,JN48QX
DL7UDA,JO62TK
DL7UIO,JN48EX
DL7ULK,JO62NN
DL7UP,JN58VC
DL7URH,JO61EI
DL7YS,JO62NM
DL8AAI,JO41XN
DL8AAU/P,JN49JU
DL8AAU/P,JN49ML
DL8LR,JN39OH
DL8MKG,JO52NU
DL8NAS,JN59LE
DL8QS,JO43KH
DL8RB,JN39JG
DL8RDL,JN68BM
DL8UCC,JO71EQ
DL8UIL,JO71CR
DL8UPB,JO71IW
DL8UWE,JO71DT
DL8WX,JO30WE
DL8ZT,JO62NA
DL9AAA,JN58QE
DL9AAA/P,JN58PD
DL9BBD,JO62QL
DL9DBF,JO40AV
DL9EE,JO54DF
DL9FBF,JN49GX
DL9LBA,JO44UO
DL9MFY,JN58SD
DL9MFY,JO41IF
DL9MKA,JO51SW
DL9NDA,JO50WH
DL9OCG,JN49PI
DL9OE,JO52GL
DL9OE,JO52IJ
DL9SUD,JO53QP
DL9SW,JN58RD
DM1PIO,JO72BM
DM1W,JO61CA
DM2BHG,JO51MW
DM2BKB,JO53QP
DM2DXG,JO51MV
DM2I,JO53UN
DM2VV,JO62RO
DM3CW/P,JO71DO
DM3MS,JO62IH
DM3PKK,JO50CB
DM3W,JO62XE
DM3XRF,JN39PI
DM4K,JN59OB
DM4SWL,JO60UW
DM4SWL,JO60WT
DM4SWL/P,JO60UW
DM5A,JO61OH
DM5B,JO60TR
DM5B,JO62XE
DM5D,JO61OC
DM5F,JO71ES
DM5GG,JO61UE
DM5M,JO51IJ
DM5MA,JO52DE
DM5UE,JO52IJ
DM6DX,JO62XE
DM6EE,JO52IJ
DM6M,JO52IJ
DM6MS,JO50SV
DM7A,JO60OM
DM7EE,JO52JJ
DM7TW,JN48RW
DM800KM,JO70IT
DM9EE,JO41RT
DO1AYJ,JO50TV
DO3BST,JO51KW
DO3OI,JO52BP
DO4GB,JO31QN
DO6PK,JO50VF
DP4D,JO41CT
DP6P,JO71EQ
DQ2C,JN48WM
DQ7A,JN59RJ
DQ8N,JO50RK
DR1T,JO50KQ
DR2L,JO41PW
DR2X,JO40QL
DR3X,JO70HX
DR5M,JN59SV
DR5W,JO61NX
DR5W,JO61OX
DR6W,JN69EI
DR7B,JO61KB
DR7C,JO50WB
DR7R,JO31DF
DR8M,JO31QH
DR9A,JN48EQ
E70A,JN94GM
E70T,JN84OS
E72U,JN94JU
E73KM,JN84XF
E73O,JN95CA
E73S,JN92EP
E74A,JN93BV
E74S,JN94AQ
E76C,JN84SU
E77Z,JN93DQ
E77Z,JN93EV
E7DX,JN84IX
E7WW,JN84SU
EA1IT,IN73TA
EA2T,IN83FD
EA3O,JN11DO
EA4SG,IN80CP
EA5EF,IM99SM
EA5EX,IM98GG
EA5TT,IM99SL
EA6URP,JM19IK
EC4C,IM68NT
EF5U,IM98SR
EI8KN,IO62IE
ER1WK,KN46MU
ER3UA,KN37WS
ER5GB,KN45CV
EU1AI,KO33SV
EU6AX,KO35UD
EU7SV,KO43HH
EU7X,KO43HH
EW1OW,KO33SU
EW1TA,KO33TT
EW4GL,KO13UP
EW6D,KO55BD
EW6EM,KO54EM
EW6FS,KO35LB
EW7T,KO53DR
F1MKG,JN08KQ
F1TRE,JN37PV
F4DVO,JN17BW
F4FER,JN24KC
F4FFS,JN17AW
F4FRG,IN98KE
F4FRX/P,JN04IC
F4FVI,JO10SG
F4GCU,JN12LQ
F4GWO,JN12LQ
F4HDF,JN24HD
F4HMX,JN25JP
F4VRB,IN98PT
F5DE,JN05DP
F5DYD,IN86XW
F5JDG/P,JN23NQ
F5JJA,JN08GM
F5JXS/P,JN03KS
F5KTR,JN18EV
F5LVR,JN38OR
F5MFI,JN07XT
F5MGD,JN19KK
F5MLJ,JN07QO
F5NBX,JN05RN
F5NIH,JN12LR
F5NSO,JN19BF
F5NWY,JN38UN
F5OCL,JN37QS
F5OUO,IN96GR
F5PKR,JN25KH
F5PZR,JN18NT
F5RNN,JN25KH
F5SDD,JN23QF
F5YG,JN09XI
F6BUL,JN35BV
F6BZJ,IN96NM
F6CZY,JN18LX
F6DCD,JN38RQ
F6DCD/P,JN38RQ
F6DUA,IN96GP
F6DWG/P,JN19BQ
F6EJT,JN25KS
F6ETI,JN05OB
F6FDR/P,JO00WB
F6FET,IN98UD
F6GCT,JN18MP
F6GNJ,JN08TV
F6GTH,JN39DC
F6GYH,JN27TS
F6HJO/P,JN27FJ
F6HTJ,JN12KQ
F6IFX,JN08CA
F6KBN,JN07GD
F6KBR/P,JN12HM
F6KFH,JN39OC
F6KKU,JO10NQ
F6KNJ,JN38QR
F6KRK,JN18AS
F8ALX,JN06RN
F8BMG,JN03JQ
F8BRL,JN19FH
F8BRL/P,JN19EN
F8CED,IN87XB
F8FGS/P,JN26WR
F8KGU,JN19BQ
F8KID,JN38AT
F8TMQ,JN25LI
F8UKP/P,JN17JH
G0JJG,JO02ME
G3M,JO01QD
G3PHO,IO93GG
G3TCU,IO91QE
G3TCU/P,IO91GI
G3VCQ,IO93GH
G3VYI,IO91OF
G3XBY,IO92CJ
G3XDY,JO02OB
G3XUD,IO90WX
G3YJR,IO93FJ
G4ASR,IO81MX
G4BP,IO94OF
G4BRK,IO91HP
G4HGI,IO83PL
G4JBH,IO80QW
G4LPP,JO02SS
G4NBS,JO02AF
G4PIQ,JO02OD
G4PVM,JO01FR
G4RGK,IO91NO
G4YPC,IO91RH
G4ZTR,JO01KW
G5RAR/P,IO82QL
G5RS/P,IO91SH
G7C,IO92VU
G7HAH,IO93NN
G7TWC,IO91VO
G8T,IN79JX
G8VPE,JO02TP
G8X,IO80EW
GM4DIJ,IO85IW
GM8U,IO75TT
HA1A,JN87GF
HA1AG,JN87TO
HA1CA,JN86HN
HA1KVP,JN87GJ
HA1KYY,JN87FI
HA1WA,JN87IH
HA1WD,JN87GF
HA1YA,JN87FI
HA1YA,JN87GF
HA1ZN,JN86MM
HA2D,JN87TB
HA2ML,JN97CO
HA2NP,JN97SG
HA2R,JN87UE
HA2VR,JN86XX
HA3FMR,JN97NM
HA3FPI,JN86SR
HA3GO,JN86SR
HA4ND,JN97MJ
HA4SS/P,JN87TB
HA4XN,JN96LX
HA5HK,JN97PL
HA5MA,JN97MK
HA5OO,JN97OM
HA5S,JN97FQ
HA5T,JN97ML
HA5TOP,JN97UO
HA5UA,JN97UM
HA6W,KN08FB
HA7AVU,KN06MG
HA7MB,KN07BM
HA8AR,KN06MQ
HA8MV,KN06GU
HA8V,KN06HT
HA9CD,KN08KD
HB9AJ,JN37SH
HB9AOF,JN36AD
HB9AOF,JN36LM
HB9BAT,JN37RF
HB9BAT/P,JN37SG
HB9BLF,JN37KB
HB9BOS,JN37TM
HB9BTI,JN47MF
HB9CLN,JN47BH
HB9CQL,JN37UM
HB9CR/P,JN36MC
HB9DBM,JN47CE
HB9DDZ,JN47AN
HB9FAP,JN47PH
HB9FBK,JN46KA
HB9FMT,JN37MI
HB9GF,JN47BC
HB9HLM,JN36KW
HB9IAB/P,JN36BK
HB9IAB/P,JN36GU
HB9IAB/P,JN36MN
HB9IOG,JN47GI
HB9LB,JN37TL
HB9NBG/P,JN37SI
HB9NE,JN37JC
HB9XC,JN37MD
HF5WIM,KO02MA
HG1A,JN86MM
HG1Z,JN86KU
HG4EWL,JN97CB
HG5O,JN97NL
HG6IA,JN97WV
HG6K,JN97DQ
HG6N,JN98VD
HG6Z,JN97WV
HG7B,JN97LW
HG7B,JN97MN
HG7F,JN97KR
HG7M,JN97WW
I0YLI,JN61HU
I1BPU,JN45CS
I1KFH,JN45FG
I1LSN,JN45AN
I2IOJ,JN45UQ
I2JIN,JN45NT
I2SVA,JN45NT
I3CLZ,JN55QO
I3EME,JN65AR
I3FGX,JN55VI
I3JKI,JN65GP
I3JUK,JN55WI
I3MTM,JN55PP
I3VWK,JN55VR
I4CIV,JN63FX
I4CIV,JN64GB
I4CVC,JN54VK
I4JEE,JN54TU
I4VOS,JN54PF
I5MZY/4,JN64DJ
I6XCK,JN63QN
I7CSB,JN71QQ
IC8TEM,JN70CN
IK0OFF/6,JN62TW
IK1APW,JN44JR
IK1RAG,JN45FC
IK1RAG,JN45FD
IK1UGX,JN34PL
IK1ZJB,JN44OO
IK2PTR,JN45QA
IK2UIZ,JN45KP
IK3COJ,JN65BN
IK3ERQ,JN65AR
IK3FHP,JN65KO
IK3GHY,JN65DM
IK3HAR,JN55RK
IK3MLF,JN55WJ
IK3SSG,JN55XH
IK3TCH,JN55NO
IK3VZO,JN55XA
IK3XTT,JN55LK
IK3YAA,JN65JS
IK4AUY,JN54MI
IK4GNG,JN64FB
IK4PMB,JN54MM
IK4WKU,JN54KK
IK4XQT,JN54QJ
IK4ZHH,JN63AX
IK4ZHH,JN64AF
IK5AMB,JN54FF
IK5BDG,JN53GU
IK5JRZ,JN53PN
IK5LWE,JN53MV
IK5LWE,JN54QE
IK5OJB,JN54QF
IK5TBK,JN53PS
IK6LLJ,JN62WW
IK7FPU,JN71SU
IK7JNM,JN80XO
IK7LMX,JN80XP
IK7RWE,JN80XP
IK7UXW,JN80XP
IK8BIZ,JN70EU
IN3CCD,JN56OD
IN3HOG,JN63GN
IN3HOG,JN72BD
IN3IIC,JN63GN
IN3XSV,JN55PU
IN3YKS,JN65AW
IO1R,JN45CS
IO2V,JN54WE
IQ1KW,JN34OP
IQ1LA,JN44CC
IQ2CJ,JN45ON
IQ3AZ,JN65QQ
IQ3BM,JN55RQ
IQ4KD,JN54PF
IQ5NN,JN63GN
IQ8BI,JN63NJ
IS0/I2SVA,JN40OU
IS0/I2SVA,JN40SX
IS0GQX,JM49OH
IS0JHQ,JN40GT
IT9DJF,JM68IE
IT9LTA/I0,JN61EV
IU3KHB,JN55OO
IU3LYA/3,JN55TT
IU3USO,JN55OL
IU4APB,JN54KK
IU4CHE,JN64GB
IU5ICR,JN53HO
IV3AOL,JN65VP
IV3CVN,JN66OF
IV3GTH,JN65RT
IW1CHX,JN35UB
IW2DNI,JN45TI
IW3HWT/3,JN55TT
IW3HWT/3,JN55VU
IW3HXR,JN55QR
IW5EIJ,JN53PU
IW8EDA,JN70GV
IZ0CLS/5,JN54QF
IZ0CLS/6,JN63GN
IZ0DHC,JN62BK
IZ0MJE,JN61FU
IZ1AZA,JN44DT
IZ1YTK,JN45DG
IZ3ETC,JN55UQ
IZ3QFG,JN65CA
IZ3ZOO,JN55RO
IZ5DKH,JN53DN
IZ5HQB,JN53NS
IZ5LZP,JN53FQ
IZ6BTN,JN63MO
IZ7UMS,JN81GD
LB1UK,JP54ML
LY2SA,KO14UG
LY2VO,KO15PX
LY2WR,KO24FO
LZ1INP,KN12NW
LZ1IQ,KN12PQ
LZ1JH,KN12PQ
LZ1MC,KN22VQ
LZ1MZK,KN12NW
LZ1ZP,KN22ID
LZ2AB,KN22XS
LZ2AB,KN23LA
LZ2AB,KN32EV
LZ2AF,KN23XO
LZ2BDS,KN14HA
LZ2FN,KN33AT
LZ2FP,KN13RD
LZ2FP,KN13SE
LZ2GG,KN33WN
LZ2JU,KN34NA
LZ2QA,KN43EK
LZ2QQ,KN23XT
LZ2SQ,KN33GM
LZ2T,KN12FR
LZ2T,KN13RD
LZ2T,KN13WR
LZ2ZY,KN13OT
LZ4BF,KN23HJ
LZ4UX,KN23TB
LZ5Y,KN22QO
LZ6R,KN33FF
LZ6R,KN33GN
LZ7J,KN22AR
LZ7J,KN22HB
LZ7J,KN22HS
LZ8A,KN22HS
LZ9X,KN22XS
M0HNA/P,IO91RF
M1K,IO92QN
M3P,IO91JO
M4J,JO02MA
M5X,IO83VO
M6R,JO02QV
M8M,JO02ME
M9BLX,JO02OO
OE1TKW,JN88DF
OE2M,JN67NT
OE3EFS,JN78TF
OE3EMC,JN78JO
OE3GAS,JN88BN
OE3JPC,JN87EW
OE3KAR,JN88EI
OE3NHW,JN88CH
OE3SQU/P,JN77XM
OE3UFC,JN78TF
OE3VBU,JN88CC
OE3XOB/8,JN66QN
OE3XOB/P,JN87AM
OE3XOB/P,JN88CC
OE3XSM,JN77XX
OE4EIE,JN87CE
OE5ANL,JN78DH
OE5ANL,JN78GJ
OE5BGN/P,JN68VN
OE5D,JN68PC
OE5DIN,JN78BL
OE5FPL,JN68PG
OE5KAP,JN67VW
OE5KE,JN78EG
OE5LHM/P,JN78CN
OE5LJM,JN78DA
OE5NNN,JN78EB
OE5NNN/P,JN78GA
OE5VRL,JN78DK
OE5XBL,JN68PC
OE6V,JN76VT
OE6XFG,JN76VT
OE8FNK/P,JN76EP
OE8FNK/P,JN76GK
OE8FNK/P,JN76LT
OE8Q/P,JN76KO
OK1A,JN69QT
OK1AIY/P,JO70SP
OK1AMX,JO60OK
OK1AUO,JO70EB
OK1BM,JO70OP
OK1CT,JN69QQ
OK1CZ,JO70EC
OK1CZ,JO70MA
OK1DCI,JO70EB
OK1DDV/P,JN79EI
OK1DFC,JN79GW
OK1DGR,JO60XE
OK1DGR,JO70AE
OK1DIX,JN79IP
OK1DIX,JO70EB
OK1DMP,JN79IX
OK1DOL,JN69OU
OK1DOY,JO60UQ
OK1DRX,JN79DW
OK1DSZ,JN79AT
OK1DT,JN69XP
OK1DTC,JO60RL
OK1DUG,JN99JM
OK1DUG,JO60WP
OK1DWF,JO70QA
OK1DWF,JO70QB
OK1DX,JN69SD
OK1DXD,JN79IX
OK1EM,JO70CN
OK1ES,JO60RN
OK1FDJ,JO70KE
OK1FEN,JN79PP
OK1FH,JO70ON
OK1FH,JO70QM
OK1FHI,JO70GS
OK1FLC,JO60TC
OK1FOX,JO70ED
OK1FPC,JN79NU
OK1FPG,JN79IO
OK1FPG,JN79MJ
OK1FPQ,JO60UQ
OK1FQK,JN79NU
OK1FQK,JN79PP
OK1FRI,JO60RN
OK1HYN,JN79BX
OK1IGI,JO70SA
OK1IM,JN79AR
OK1IM,JO70FB
OK1IME,JN79OA
OK1IME,JO70FB
OK1ISB,JN69TS
OK1JC,JO70SL
OK1JFP,JO60XS
OK1JFP,JO70CQ
OK1KAD,JO60LJ
OK1KCB,JN79GB
OK1KCR,JN79VS
OK1KEO,JN79NU
OK1KEP,JO70OR
OK1KFH,JN69VN
OK1KFX,JN79FV
OK1KIM,JO60RN
OK1KIY,JN79VT
OK1KJO,JO60OK
OK1KJP,JN78CS
OK1KKA,JN79OW
OK1KKA,JN79PP
OK1KKD,JO60WD
OK1KKD,JO70BT
OK1KKD,JO70CD
OK1KKI,JN79NF
OK1KKL,JO70PO
OK1KKP,JO70DG
OK1KKY,JO70QD
OK1KN,JO70EC
OK1KN,JO70KD
OK1KNG,JN69RI
OK1KOK,JO80IB
OK1KPA,JN79US
OK1KRI,JN79GS
OK1KRI,JN79IX
OK1KUO,JO80FF
OK1KVR,JO70UO
OK1KWV,JN79EJ
OK1MAC/P,JN79OP
OK1MBT,JO70BM
OK1MGW,JO70WF
OK1MLP,JN79AV
OK1MLP,JN79BV
OK1MM,JO70FB
OK1MWW,JN89DW
